URL,Street Address,City,State,Zip,Last Sold Date,Price,Listed,Lot Area
https://www.trulia.com/home/Xfob-Sw-Sr-14-Madison-FL-32340-299178689,Xfob Sw Sr 14,Madison,FL,32340,"Last Sold: May 27, 2022","$55,000",No Info,(on 5.01 acres)
https://www.trulia.com/home/6330-SE-Farm-Rd-Lee-FL-32059-123466861,6330 SE Farm Rd,Lee,FL,32059,"Last Sold: May 31, 2022","$59,995",No Info,(on 17.38 acres)
https://www.trulia.com/home/Vacant-Sw-Sr-14-Madison-FL-32340-2063272408,Vacant Sw Sr Hwy  #14,Madison,FL,32340,"Last Sold: May 27, 2022","$55,000",180+ days ago,(on 5 acres)
https://www.trulia.com/p/fl/greenville/561-sw-wacissa-ter-greenville-fl-32331--2092709094,561 SW Wacissa Ter,Greenville,FL,32331,"Last Sold: May 27, 2022","$190,000",180+ days ago,(on 5 acres)
https://www.trulia.com/home/Vacant-Ne-Cedar-Madison-FL-32340-2065881322,Vacant Ne Cedar Trl,Madison,FL,32340,"Last Sold: May 31, 2022","$66,000",180+ days ago,(on 10.11 acres)
https://www.trulia.com/home/Vacant-Sw-Cr-14-Madison-County-Madison-FL-32340-2064221471,Vacant Sw Cr 14 Madison County,Madison,FL,32340,"Last Sold: Jul 21, 2022","$273,930",180+ days ago,(on 44.77 acres)
https://www.trulia.com/p/fl/madison/2663-nw-ebenezer-church-rd-madison-fl-32340--2092713845,2663 NW Ebenezer Church Rd,Madison,FL,32340,"Last Sold: May 27, 2022","$1,530,000",No Info,(on 111 acres)
https://www.trulia.com/p/fl/lee/6178-e-us-highway-90-lee-fl-32059--2400006776,6178 E  US Highway 90,Lee,FL,32059,"Last Sold: May 27, 2022","$75,000",No Info,(on 9.17 acres)
https://www.trulia.com/p/fl/madison/2558-sw-county-road-360-madison-fl-32340--2092713755,2558 SW County Road 360,Madison,FL,32340,"Last Sold: Jun 3, 2022","$250,000",No Info,(on 21.68 acres)
https://www.trulia.com/home/Vacant-Madison-FL-32340-2068960536,Vacant,Madison,FL,32340,"Last Sold: Jun 1, 2022","$225,000",180+ days ago,(on 50.04 acres)
https://www.trulia.com/home/County-Road-255-Lee-FL-32059-98405355,NE County Road 255,Lee,FL,32059,"Last Sold: Jun 2, 2022","$58,000",No Info,(on 10.15 acres)
https://www.trulia.com/p/fl/madison/2558-sw-c-r-360-rd-madison-fl-32340--2572716486,2558 SW C R 360 Rd,Madison,FL,32340,"Last Sold: Jun 3, 2022","$250,000",180+ days ago,(on 21.68 acres)
https://www.trulia.com/home/Tbd-Smokehouse-Farms-Greenville-FL-32331-2093427197,Tbd Smokehouse Farms Dr,Greenville,FL,32331,"Last Sold: Jun 7, 2022","$37,000",180+ days ago,(on 5.01 acres)
https://www.trulia.com/p/fl/greenville/4764-sw-fellowship-rd-greenville-fl-32331--2092708964,4764 SW Fellowship Rd,Greenville,FL,32331,"Last Sold: Jun 13, 2022","$215,000",180+ days ago,(on 9.26 acres)
https://www.trulia.com/p/fl/lee/1175-ne-juniper-dr-lee-fl-32059--2411686033,1175 NE Juniper Dr,Lee,FL,32059,"Last Sold: Jun 17, 2022","$172,900",180+ days ago,(on 10.44 acres)
https://www.trulia.com/home/0-S-Camp-P-Rd-Madison-FL-32340-2065797978,S  Camp P Rd,Madison,FL,32340,"Last Sold: Jun 17, 2022","$201,256",180+ days ago,(on 91.48 acres)
https://www.trulia.com/p/fl/madison/2627-nw-little-cat-rd-madison-fl-32340--2092713821,2627 NW Little Cat Rd,Madison,FL,32340,"Last Sold: Jun 3, 2022","$369,000",No Info,(on 69 acres)
https://www.trulia.com/p/fl/lee/1499-ne-beulah-church-rd-lee-fl-32059--2092504970,1499 NE Beulah Church Rd,Lee,FL,32059,"Last Sold: Jun 22, 2022","$183,000",180+ days ago,(on 5 acres)
