URL,Street Address,City,State,Zip,Last Sold Date,Price,Listed,Lot Area
https://www.trulia.com/p/fl/madison/460-ne-cattail-dr-madison-fl-32340--2092715084,460 NE Cattail Dr,Madison,FL,32340,"Last Sold: Oct 14, 2022","$85,000",No Info,(on 6.19 acres)
https://www.trulia.com/home/Parliament-Lee-FL-32059-307388112,SE Parliament Trl,Lee,FL,32059,"Last Sold: Oct 19, 2022","$115,000",83 days ago,(on 20.78 acres)
https://www.trulia.com/home/Rollercoaster-Hill-Madison-FL-32340-2063184169,SE Rollercoaster Hill Rd,Madison,FL,32340,$425K,"$109,000",60 days ago,(on 10.55 acres)
https://www.trulia.com/home/Vacant-Ne-Captain-Buie-Pinetta-FL-32350-2062908991,Vacant Ne Captain Buie Rd,Pinetta,FL,32350,"Last Sold: Jan 9, 2023","$1,100,000",93 days ago,(on 357 acres)
https://www.trulia.com/home/0-SW-Sampala-Lake-Rd-Madison-FL-32340-2069441287,SW Sampala Lake Rd,Madison,FL,32340,"Last Sold: Oct 14, 2022","$220,000",113 days ago,(on 160 acres)
https://www.trulia.com/home/143-SW-Canaan-Trl-Madison-FL-32340-299178178,143 SW Canaan Trl,Madison,FL,32340,"Last Sold: Oct 21, 2022","$50,000",180+ days ago,(on 5 acres)
https://www.trulia.com/home/9-9B-SE-Parliament-Trl-Lee-FL-32059-2076589930,9-9B SE Parliament Trl,Lee,FL,32059,"Last Sold: Oct 19, 2022","$115,000",132 days ago,(on 20.78 acres)
https://www.trulia.com/p/fl/greenville/4065-sw-overstreet-ave-greenville-fl-32331--2400006646,4065 SW Overstreet Ave,Greenville,FL,32331,"Last Sold: Oct 13, 2022","$595,000",123 days ago,(on 81.93 acres)
https://www.trulia.com/home/Vacant-Nw-Us-221-Greenville-FL-32331-2065430673,Vacant Nw Us 221,Greenville,FL,32331,"Last Sold: Nov 10, 2022","$62,500",100 days ago,(on 10.70 acres)
https://www.trulia.com/home/US-Highway-90-Lee-FL-32059-98414486,E  US Highway 90,Lee,FL,32059,"Last Sold: Nov 2, 2022","$48,500",No Info,(on 5.01 acres)
https://www.trulia.com/p/fl/greenville/312-sw-ray-charles-ave-greenville-fl-32331--2092708662,312 SW Ray Charles Ave,Greenville,FL,32331,"Last Sold: Nov 9, 2022","$50,000",No Info,(on 6.67 acres)
